File,Text,Acoustic_Annotation,Semantic_Analysis
Ses05M_impro03_M012, Wasn't that great? I didn't want it to be too hokey.but- but- She liked it.She liked it.,hap,positive
Ses05M_impro03_F008, so cute.,hap,positive
Ses05M_impro03_M015, It was a lot of fun- It was a lot of fun.  She's great.  And I'm so happy.,hap,positive
Ses05M_impro03_M018," Um- And she wants you to be in it, too.  She loves you so much. She thinks you're the sweetest.  Of course, you are.  You're You're my best friend so-",hap,positive
Ses05M_impro03_M022," Yes, me too. Oh I am so in love.",hap,positive
Ses05M_impro03_M032, it's great. I'm a lucky man.,hap,positive
Ses05M_impro03_F031," That's incredible yeah ,Congratulations.",hap,positive
Ses05M_impro03_M033, Thank you.,hap,positive
Ses05M_script01_3_F001, It's all right.  It's a good thing.  It's lovely here.  The air is sweet.,hap,positive
Ses03M_script02_2_M040, It seemed like a good spot to me.,hap,positive
Ses04M_impro03_M006," She didn't cry, but she was laughing a lot and it was very exciting, so...",hap,positive
Ses03F_script02_2_F044, I noticed that. It's beautiful.,hap,positive
Ses01F_script02_2_F019," You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",hap,positive
Ses03M_impro03_F021," Okay, that is really cheesy Joe.",hap,positive
Ses03M_impro03_F022, Oh that's kind of sweet.,hap,positive
Ses03M_impro03_M030," You got to meet her, she's wonderful.",hap,positive
Ses03M_impro03_M031, She just graduated from high school and----she's planning to apply for colleges----and stuff.She's so great.  She has so much life and energy and stuff.,hap,positive
Ses03M_impro03_M040, I'm so happy.,hap,positive
Ses03M_script01_3_M021, We're going to live now.  I'm going to make you so happy.,hap,positive
Ses02F_script03_1_F003," Now and always, sweet.",hap,positive
Ses02F_script03_1_F006, Behave exquisitely.,hap,positive
Ses02F_script03_1_F023, Charles.  That was his name.  Charles.  He did wriggle so beautifully.,hap,positive
Ses02M_impro08_F023, Great.,hap,positive
Ses02M_impro08_F028, Well thank you so much. You've been very helpful. I really appreciate it.,hap,positive
Ses02M_impro08_F029, [BREATHING] Thank you.,hap,positive
Ses04F_script02_1_M011," Ah, this is great, isn't it?  I didn't even think to bring a six-pack.  A six-pack would be just the ticket right about now.",hap,positive
Ses03F_script01_3_F002, It's really lovely here. The air is sweet.,hap,positive
Ses03F_script01_3_M012, I love you a great deal.,hap,positive
Ses03F_script01_3_M023, We're going to live now. I'm going to make you so happy.,hap,positive
Ses04M_impro07_M013," So -- and like the geology just is awesome.  It rocks, no pun intended. [LAUGHTER]",hap,positive
Ses02M_impro07_M011," it was good, yeah. I mean-",hap,positive
Ses02M_impro07_F014, No but that's an awesome school. That's so cool.,hap,positive
Ses02M_impro07_M016," I know ahh- yeah-, I'm definitely looking forward to it, and I mean they had a great football season last year",hap,positive
Ses02M_impro07_M025," yeah, I mean a lot-a lot  of good stuff oh, yeah, I mean it's- it's just a really good school; so really, whatever I pick I can't go wrong. I mean I'm just",hap,positive
Ses02M_impro07_M026," I'm looking forward to getting there. I mean, God, the campus is cool, you know it's like all just very confined I mean just you know it's a college campus you know it's like",hap,positive
Ses02M_impro07_F028," and we'll explore and you going to have such a good time, you're going to fit in so well, it's going to be awesome",hap,positive
Ses02M_impro07_F029, So Congratulations. That's awesome.,hap,positive
Ses03M_impro07_F013," This is so great, you know, because I gone fit on downtown so I'm going to be like right here.  I think I'm going to be living at City Lights downtown.",hap,positive
Ses01F_script01_3_M019," Oh Annie, we are going to live now.  I am going to make you so happy.",hap,positive
Ses05F_impro08_M025," That would be wonderful, that would be great seriously.",hap,positive
Ses05F_impro08_M028," six four nine four. That would be so great, thank you so much.",hap,positive
Ses05F_impro08_M031," You too, thank you so much, have a wonderful day.",hap,positive
Ses01F_impro03_F000, Well Vegas was awesome.,hap,positive
Ses01F_impro03_F004, Um- Yes.  It was very romantic.,hap,positive
Ses01F_impro03_M007, [LAUGHTER] That's really romantic.,hap,positive
