File,Text,Acoustic_Annotation,Semantic_Analysis
Ses03M_script03_2_F002, Not at all.  It was very pretty.  I still have it and I wear it often.,ang,positive
Ses03M_script03_2_M041, Very amusing indeed.,ang,positive
Ses05F_script03_2_M041, Very music- amusing indeed.,ang,positive
Ses01M_script01_1_M035," Yes, yes I like it for one hour a day.  I don't care if I have to grub for money all day long when I come home I want it nice, I want a family, I want to kids and Annie is in the center of that.",ang,positive
Ses05M_script03_2_M039, Very amusing indeed.,ang,positive
Ses02F_script01_1_M038," Yes.  I like it an hour a day.  If I'm gonna grub for my money all day long, at least in the evening I want it beautiful.",ang,positive
Ses04F_impro02_F017, Thanks that helps.,ang,positive
Ses04F_impro01_F014, I mean look she's -she's perfectly nice.  She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to.  I have kids to pick up from school.  I can't just stay here.,ang,positive
Ses04M_script03_2_M035," No restraint at all, very enjoyable.  You never had much anyhow.",ang,positive
Ses04M_script01_1_M038," Yes.  I like getting an hour a day.  If I have to grub for money all day long, at least at evening, I want it beautiful.",ang,positive
Ses04F_script02_1_M031, We just weren't in a good spot.  This is a much better spot.,ang,positive
Ses04F_script03_2_M040, Very amusing.,ang,positive
Ses03F_script03_2_M040, Very amusing indeed.,ang,positive
Ses05F_impro08_M003," you are a real human being.  Thank you very, very much.",ang,positive
Ses02M_script01_1_M039," Yes, I like it and hour a day. If I'm going to grub for money all day long, at least in the evening I want it beautiful.",ang,positive
Ses01M_impro05_F036, That's fantastic.,ang,positive
Ses01M_impro05_M031, Thank you very much.,ang,positive
Ses03M_impro05b_M013, Wow.  Thank you.  Holiday Inn.  Wow.  Thank...the flight cost five hundred dollars.,ang,positive
Ses03M_impro05b_M031, Some peanuts?  Wow.  That helps a lot.,ang,positive
Ses02M_script03_2_M027," No restraint at all, very enjoyable, never had much anyhow.",ang,positive
Ses02M_script03_2_M041, Very amusing indeed.,ang,positive
Ses05M_script01_1b_M036," Yeah, I'd like one hour a day.  If I have to grub for money all day long, I'd like to go home to something beautiful.  I'd like a family.  I'd like some kids.",ang,positive
Ses01F_impro04_F030, You are so high and mighty.  I just--,ang,positive
Ses03F_script01_1_M045, Yes. I like it an hour out of the day. If I have to grub for money all day long at least that evening I want it beautiful. I want a wife. I want a family. I want some kids. I want to build something I can give myself to.,ang,positive
Ses04M_impro01_M024," Okay, fine.  I'll go over there.  Thanks, a lot.  You've been really helpful.",ang,positive
Ses04M_impro01_F021, Yeah.  Thank you.  Have a pleasant day.,ang,positive
Ses03M_script01_1_M041, Yes.  I like it an hour out of the day.  If I have to grub for money all day long at least at evening I want it beautiful.  I want a family.  I want a wife.  I want some kids.  I want to build something I can give myself to.,ang,positive
Ses03F_script02_1_M035," no, that's just seaweed, isn't it? This is great, isn't it?",ang,positive
